"id","first_name","last_name","email","enrolement_date"
1,"John","Doe","johndoe@example.com","2021-09-01"
2,"Jane","Smith","janesmith@example.com","2021-09-02"
3,"Bob","Johnson","bobjohnson@example.com","2021-09-03"
4,"Alice","Williams","alicewilliams@example.com","2021-09-04"
5,"Tom","Brown","tombrown@example.com","2021-09-05"
6,"Alice","Smith","alice.smith@example.com","2022-09-01"
7,"Bob","Johnson","bob.johnson@example.com","2022-09-01"
8,"Charlie","Williams","charlie.williams@example.com","2023-01-15"
9,"Diana","Brown","diana.brown@example.com","2023-02-01"
10,"Ethan","Davis","ethan.davis@example.com","2023-03-01"
11,"John","Doe","john.doe@example.com","2021-09-01"
12,"Jane","Smith","jane.smith@example.com","2020-09-01"
13,"Alice","Johnson","alice.johnson@example.com","2022-01-15"
14,"Bob","Brown","bob.brown@example.com","2021-01-10"
15,"Charlie","Miller","charlie.miller@example.com","2019-08-20"
